reaction,lb,ub
DB4PS,0,1000
DCMPDA_f,0,1000
DCMPDA_r,0,1000
DDCAt_f,0,1000
DDCAt_r,0,1000
DDPA,0,1000
DDPGA_f,0,1000
DDPGA_r,0,1000
DEXTRINASE,0,1000
DEXTRINabc,0,1000
DGK1_f,0,1000
DGK1_r,0,1000
DHAPT,0,1000
DHDPRy,0,1000
DHDPS,0,1000
DHFOR2_f,0,1000
DHFOR2_r,0,1000
DHFR_f,0,1000
DHFR_r,0,1000
DHFS,0,1000
DHNAOPT_f,0,1000
DHNAOPT_r,0,1000
DHNAOT4,0,1000
DHNPA,0,1000
DHORD2,0,1000
DHORD5,0,1000
DHORDfum,0,1000
DHORDi,0,1000
DHORTS_f,0,1000
DHORTS_r,0,1000
DHPPDA,0,1000
DHPS,0,1000
DHQS,0,1000
DHQTi,0,1000
DHSQLD,0,1000
DMATT,0,1000
DM_2HYMEPH,0,1000
DM_GCALD,0,1000
DM_HQN,0,1000
DM_atp_c,0,1000
DM_dhptd_c_f,0,1000
DM_dhptd_c_r,0,1000
DPCOAK,0,1000
DPMVDc,0,1000
DPRr_f,0,1000
DPRr_r,0,1000
DRBK,0,1000
DRIBabc,0,1000
DSERt2r_f,0,1000
DSERt2r_r,0,1000
DTMPK,0,1000
DURIK1,0,1000
DUTPDP,0,1000
DXPS,0,1000
D_LACD,0,1000
D_LACt2_f,0,1000
D_LACt2_r,0,1000
E4PD_f,0,1000
E4PD_r,0,1000
EAR100x,0,1000
EAR10M11x,0,1000
EAR10M12x,0,1000
EAR11M12x,0,1000
EAR120x,0,1000
EAR12M13x,0,1000
EAR12M14x,0,1000
EAR13M14x,0,1000
EAR140x,0,1000
EAR14M15x,0,1000
EAR14M16x,0,1000
EAR15M16x,0,1000
EAR160x,0,1000
EAR180x,0,1000
EAR40x,0,1000
EAR4M5x,0,1000
EAR4M6x,0,1000
EAR5M6x,0,1000
EAR60x,0,1000
EAR6M7x,0,1000
EAR6M8x,0,1000
EAR7M8x,0,1000
EAR80x,0,1000
EAR8M10x,0,1000
EAR8M9x,0,1000
EAR9M10x,0,1000
EDA_R_f,0,1000
EDA_R_r,0,1000
EHGLAT,0,1000
ENO_f,0,1000
ENO_r,0,1000
ETHSO3abc,0,1000
ETOHt_f,0,1000
ETOHt_r,0,1000
EX_13ppd_e_f,0,1000
EX_13ppd_e_r,0,1000
EX_34dhpha_e_f,0,1000
EX_34dhpha_e_r,0,1000
EX_3hphac_e_f,0,1000
EX_3hphac_e_r,0,1000
EX_4abut_e_f,0,1000
EX_4abut_e_r,0,1000
EX_4abz_e_f,0,1000
EX_4abz_e_r,0,1000
EX_5mthf_e_f,0,1000
EX_5mthf_e_r,0,1000
EX_C02528_e_f,0,1000
EX_C02528_e_r,0,1000
EX_Lcyst_e_f,0,1000
EX_Lcyst_e_r,0,1000
EX_MGlcn100_e_f,0,1000
EX_MGlcn100_e_r,0,1000
EX_MGlcn100__rl_e_f,0,1000
EX_MGlcn100__rl_e_r,0,1000
EX_MGlcn101_e_f,0,1000
EX_MGlcn101_e_r,0,1000
EX_MGlcn101__rl_e_f,0,1000
EX_MGlcn101__rl_e_r,0,1000
EX_MGlcn102_e_f,0,1000
EX_MGlcn102_e_r,0,1000
EX_MGlcn102__rl_e_f,0,1000
EX_MGlcn102__rl_e_r,0,1000
EX_MGlcn104_e_f,0,1000
EX_MGlcn104_e_r,0,1000
EX_MGlcn104__rl_e_f,0,1000
EX_MGlcn104__rl_e_r,0,1000
EX_MGlcn105_e_f,0,1000
EX_MGlcn105_e_r,0,1000
EX_MGlcn105__rl_e_f,0,1000
EX_MGlcn105__rl_e_r,0,1000
EX_MGlcn106_e_f,0,1000
EX_MGlcn106_e_r,0,1000
EX_MGlcn106__rl_e_f,0,1000
EX_MGlcn106__rl_e_r,0,1000
EX_MGlcn107_e_f,0,1000
EX_MGlcn107_e_r,0,1000
EX_MGlcn107__rl_e_f,0,1000
EX_MGlcn107__rl_e_r,0,1000
EX_MGlcn109_e_f,0,1000
EX_MGlcn109_e_r,0,1000
EX_MGlcn109__rl_e_f,0,1000
EX_MGlcn109__rl_e_r,0,1000
EX_MGlcn110_e_f,0,1000
EX_MGlcn110_e_r,0,1000
EX_MGlcn110__rl_e_f,0,1000
EX_MGlcn110__rl_e_r,0,1000
